state,yawn,closed,hands_on_face,away,time
1,0,0,0,0,11:07:13
1,0,0,0,0,11:07:13
1,0,0,0,0,11:07:13
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:14
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:15
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:16
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:17
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:18
1,0,0,0,0,11:07:19
1,0,0,0,0,11:07:19
1,0,0,0,0,11:07:19
1,0,0,0,0,11:07:19
1,0,0,0,0,11:07:19
0,0,0,1,0,11:07:19
0,0,0,1,0,11:07:19
1,0,1,0,0,11:07:19
1,0,0,0,0,11:07:19
1,0,0,0,0,11:07:20
1,0,0,0,0,11:07:20
1,0,0,0,0,11:07:20
1,0,0,0,0,11:07:20
0,0,0,1,0,11:07:20
0,0,0,1,0,11:07:20
0,0,0,1,0,11:07:20
0,0,0,1,0,11:07:20
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:21
0,0,0,1,0,11:07:22
0,0,0,1,0,11:07:22
0,0,0,1,0,11:07:22
0,0,0,1,0,11:07:22
1,0,0,0,0,11:07:22
1,0,0,0,0,11:07:22
1,0,0,0,0,11:07:22
0,0,0,1,0,11:07:22
1,0,0,0,0,11:07:22
0,0,0,1,0,11:07:23
1,0,0,0,0,11:07:23
1,0,0,0,0,11:07:23
1,0,0,0,0,11:07:23
1,0,0,0,0,11:07:23
1,0,0,0,0,11:07:23
0,0,0,0,1,11:07:23
0,0,0,0,1,11:07:23
0,0,0,0,1,11:07:23
0,0,0,0,1,11:07:23
1,0,0,0,0,11:07:24
0,0,0,0,1,11:07:24
1,0,0,0,0,11:07:24
